Releasing_node,Receiving_node,Link_weight,Germplasm_activity,Species,Plant_type
Peru,CIP,1,Incoming,Arracacia,Wild species
Brazil,CIP,20,Incoming,Arracia xanthorrhiza,Conventional variety
Peru,CIP,12,Incoming,Arracia xanthorrhiza,Conventional variety
Peru,CIP,4,Incoming,Ipomoea alba,Wild species
Venezuela,CIP,1,Incoming,Ipomoea alba,Wild species
Argentina,CIP,11,Incoming,Ipomoea amnicola,Unknown
Bolivia,CIP,7,Incoming,Ipomoea amnicola,Unknown
Colombia,CIP,2,Incoming,Ipomoea amnicola,Unknown
Peru,CIP,2,Incoming,Ipomoea amnicola,Unknown
Honduras,CIP,1,Incoming,Ipomoea anisomeres,Wild species
Peru,CIP,1,Incoming,Ipomoea anisomeres,Wild species
Colombia,CIP,1,Incoming,Ipomoea aquatica,Wild species
Peru,CIP,1,Incoming,Ipomoea aquatica,Wild species
Philippines,CIP,1,Incoming,Ipomoea aquatica,Wild species
Argentina,CIP,2,Incoming,Ipomoea aristolochiaefolia,Wild species
Ecuador,CIP,3,Incoming,Ipomoea aristolochiaefolia,Wild species
Peru,CIP,1,Incoming,Ipomoea aristolochiaefolia,Wild species
Brazil,CIP,2,Incoming,Ipomoeae asarifolia,Wild species
Ecuador,CIP,5,Incoming,Ipomoeae asarifolia,Wild species
Mexico,CIP,1,Incoming,Ipomoeae asarifolia,Wild species
Peru,CIP,22,Incoming,Ipomoeae asarifolia,Wild species
Brazil,CIP,3,Incoming,Ipomoea behiensis,Wild species
Argentina,CIP,87,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Australia,CIP,3,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Burundi,CIP,5,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Bangladesh,CIP,4,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Bolivia,CIP,75,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Brazil,CIP,146,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
Chile,CIP,1,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
China,CIP,38,Incoming,Ipomoea batatas,"Wild species, conventional, or improved"
