sovereignt,admin,adm0_a3,continent,region_un,subregion,region_wb,Longitude,Latitude
Netherlands,Aruba,ABW,North America,Americas,Caribbean,Latin America & Caribbean,-69.98267711,12.52088038
Afghanistan,Afghanistan,AFG,Asia,Asia,Southern Asia,South Asia,66.00473366,33.83523073
Angola,Angola,AGO,Africa,Africa,Middle Africa,Sub-Saharan Africa,17.53736768,-12.29336054
United Kingdom,Anguilla,AIA,North America,Americas,Caribbean,Latin America & Caribbean,-63.06498927,18.2239595
Albania,Albania,ALB,Europe,Europe,Southern Europe,Europe & Central Asia,20.04983396,41.14244989
Finland,Aland,ALD,Europe,Europe,Northern Europe,Europe & Central Asia,19.95328768,60.21488688
Andorra,Andorra,AND,Europe,Europe,Southern Europe,Europe & Central Asia,1.56054378,42.54229102
United Arab Emirates,United Arab Emirates,ARE,Asia,Asia,Western Asia,Middle East & North Africa,54.3001671,23.90528188
Argentina,Argentina,ARG,South America,Americas,South America,Latin America & Caribbean,-65.17980692,-35.3813488
Armenia,Armenia,ARM,Asia,Asia,Western Asia,Europe & Central Asia,44.92993276,40.28952569
United States of America,American Samoa,ASM,Oceania,Oceania,Polynesia,East Asia & Pacific,-170.7180258,-14.30445997
Antarctica,Antarctica,ATA,Antarctica,Antarctica,Antarctica,Antarctica,19.92108951,-80.50857913
Australia,Ashmore and Cartier Islands,ATC,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,123.5838379,-12.42993164
France,French Southern and Antarctic Lands,ATF,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,69.22666758,-49.24895485
Antigua and Barbuda,Antigua and Barbuda,ATG,North America,Americas,Caribbean,Latin America & Caribbean,-61.79469343,17.2774996
Australia,Australia,AUS,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,134.4910001,-25.73288704
Austria,Austria,AUT,Europe,Europe,Western Europe,Europe & Central Asia,14.1264761,47.58549439
Azerbaijan,Azerbaijan,AZE,Asia,Asia,Western Asia,Europe & Central Asia,47.54599879,40.28827235
Burundi,Burundi,BDI,Africa,Africa,Eastern Africa,Sub-Saharan Africa,29.87512156,-3.35939666
Belgium,Belgium,BEL,Europe,Europe,Western Europe,Europe & Central Asia,4.64065114,50.63981576
Benin,Benin,BEN,Africa,Africa,Western Africa,Sub-Saharan Africa,2.32785254,9.6417597
Burkina Faso,Burkina Faso,BFA,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.75456601,12.26953846
Bangladesh,Bangladesh,BGD,Asia,Asia,Southern Asia,South Asia,90.23812743,23.86731158
Bulgaria,Bulgaria,BGR,Europe,Europe,Eastern Europe,Europe & Central Asia,25.21552909,42.76890318
Bahrain,Bahrain,BHR,Asia,Asia,Western Asia,Middle East & North Africa,50.54196932,26.04205135
Canada,Canada,CAN,North America,Americas,Northern America,North America,-98.30777028,61.36206324
The Bahamas,Bahamas,BHS,North America,Americas,Caribbean,Latin America & Caribbean,-76.62843038,24.29036702
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe,Europe,Southern Europe,Europe & Central Asia,17.76876733,44.17450125
France,Saint Barthelemy,BLM,North America,Americas,Caribbean,Latin America & Caribbean,-62.84067779,17.89880451
Belarus,Belarus,BLR,Europe,Europe,Eastern Europe,Europe & Central Asia,28.03209307,53.53131377
Belize,Belize,BLZ,North America,Americas,Central America,Latin America & Caribbean,-88.71010486,17.20027509
United Kingdom,Bermuda,BMU,North America,Americas,Northern America,North America,-64.7545589,32.31367802
Bolivia,Bolivia (Plurinational State of),BOL,South America,Americas,South America,Latin America & Caribbean,-64.68538645,-16.70814787
Brazil,Brazil,BRA,South America,Americas,South America,Latin America & Caribbean,-53.09783113,-10.78777702
Barbados,Barbados,BRB,North America,Americas,Caribbean,Latin America & Caribbean,-59.559797,13.18145428
Brunei,Brunei Darussalam,BRN,Asia,Asia,South-Eastern Asia,East Asia & Pacific,114.7220304,4.51968958
Bhutan,Bhutan,BTN,Asia,Asia,Southern Asia,South Asia,90.40188155,27.41106589
Botswana,Botswana,BWA,Africa,Africa,Southern Africa,Sub-Saharan Africa,23.79853368,-22.18403213
Central African Republic,Central African Republic,CAF,Africa,Africa,Middle Africa,Sub-Saharan Africa,20.46826831,6.56823297
Switzerland,Switzerland,CHE,Europe,Europe,Western Europe,Europe & Central Asia,8.20867471,46.79785878
Chile,Chile,CHL,South America,Americas,South America,Latin America & Caribbean,-71.38256213,-37.73070989
China,"China, mainland",CHN,Asia,Asia,Eastern Asia,East Asia & Pacific,103.8190735,36.56176546
Ivory Coast,Ivory Coast,CIV,Africa,Africa,Western Africa,Sub-Saharan Africa,-5.5692157,7.6284262
